index	name	basename	parent	suffix	offset	size	first_chunk	last_chunk	chunk_count
183	sharedassets451.resource	sharedassets451.resource	.	.resource	810877316	300196	194	194	1
184	sharedassets452.resource	sharedassets452.resource	.	.resource	811177512	1073881	194	194	1
185	sharedassets454.resource	sharedassets454.resource	.	.resource	812251393	175119	194	194	1
186	sharedassets457.resource	sharedassets457.resource	.	.resource	812426512	111767	194	194	1
187	sharedassets458.resource	sharedassets458.resource	.	.resource	812538279	233490	194	194	1
188	sharedassets459.resource	sharedassets459.resource	.	.resource	812771769	1256819	194	195	2
189	sharedassets46.resource	sharedassets46.resource	.	.resource	814028588	111639	195	195	1
190	sharedassets460.resource	sharedassets460.resource	.	.resource	814140227	224789	195	195	1
191	sharedassets470.resource	sharedassets470.resource	.	.resource	814365016	587738	195	195	1
192	sharedassets471.resource	sharedassets471.resource	.	.resource	814952754	235114	195	195	1
193	sharedassets472.resource	sharedassets472.resource	.	.resource	815187868	168776	195	195	1
194	sharedassets473.resource	sharedassets473.resource	.	.resource	815356644	319243	195	195	1
195	sharedassets474.resource	sharedassets474.resource	.	.resource	815675887	96243	195	195	1
196	sharedassets475.resource	sharedassets475.resource	.	.resource	815772130	265500	195	195	1
197	sharedassets477.resource	sharedassets477.resource	.	.resource	816037630	20234	195	195	1
198	sharedassets48.resource	sharedassets48.resource	.	.resource	816057864	2555559	195	196	2
199	sharedassets480.resource	sharedassets480.resource	.	.resource	818613423	40530	196	196	1
200	sharedassets481.resource	sharedassets481.resource	.	.resource	818653953	1602947	196	196	1
201	sharedassets482.resource	sharedassets482.resource	.	.resource	820256900	243184	196	196	1
202	sharedassets485.resource	sharedassets485.resource	.	.resource	820500084	86940	196	196	1
203	sharedassets486.resource	sharedassets486.resource	.	.resource	820587024	11330	196	196	1
204	sharedassets49.resource	sharedassets49.resource	.	.resource	820598354	606406	196	196	1
205	sharedassets5.resource	sharedassets5.resource	.	.resource	821204760	17016947	196	200	5
206	sharedassets50.resource	sharedassets50.resource	.	.resource	838221707	183014	200	200	1
207	sharedassets500.resource	sharedassets500.resource	.	.resource	838404721	67201	200	200	1
208	sharedassets51.resource	sharedassets51.resource	.	.resource	838471922	27290	200	200	1
209	sharedassets53.resource	sharedassets53.resource	.	.resource	838499212	6644	200	200	1
210	sharedassets56.resource	sharedassets56.resource	.	.resource	838505856	43977	200	200	1
211	sharedassets57.resource	sharedassets57.resource	.	.resource	838549833	110966	200	200	1
212	sharedassets58.resource	sharedassets58.resource	.	.resource	838660799	100595	200	200	1
213	sharedassets6.resource	sharedassets6.resource	.	.resource	838761394	2937133	200	201	2
214	sharedassets62.resource	sharedassets62.resource	.	.resource	841698527	465680	201	201	1
215	sharedassets64.resource	sharedassets64.resource	.	.resource	842164207	621871	201	201	1
216	sharedassets68.resource	sharedassets68.resource	.	.resource	842786078	917787	201	202	2
217	sharedassets7.resource	sharedassets7.resource	.	.resource	843703865	3963373	202	203	2
218	sharedassets73.resource	sharedassets73.resource	.	.resource	847667238	471956	203	203	1
219	sharedassets76.resource	sharedassets76.resource	.	.resource	848139194	215146	203	203	1
220	sharedassets77.resource	sharedassets77.resource	.	.resource	848354340	41457	203	203	1
221	sharedassets79.resource	sharedassets79.resource	.	.resource	848395797	66076	203	203	1
222	sharedassets8.resource	sharedassets8.resource	.	.resource	848461873	998526	203	203	1
223	sharedassets81.resource	sharedassets81.resource	.	.resource	849460399	425023	203	203	1
224	sharedassets82.resource	sharedassets82.resource	.	.resource	849885422	36942	203	203	1
225	sharedassets83.resource	sharedassets83.resource	.	.resource	849922364	11628692	203	206	4
226	sharedassets84.resource	sharedassets84.resource	.	.resource	861551056	383115	206	206	1
227	sharedassets85.resource	sharedassets85.resource	.	.resource	861934171	555038	206	206	1
228	sharedassets86.resource	sharedassets86.resource	.	.resource	862489209	55225	206	206	1
229	sharedassets87.resource	sharedassets87.resource	.	.resource	862544434	998829	206	206	1
230	sharedassets88.resource	sharedassets88.resource	.	.resource	863543263	179966	206	206	1
231	sharedassets9.resource	sharedassets9.resource	.	.resource	863723229	558987	206	207	2
232	sharedassets90.resource	sharedassets90.resource	.	.resource	864282216	55708	207	207	1
233	sharedassets91.resource	sharedassets91.resource	.	.resource	864337924	23885	207	207	1
234	sharedassets92.resource	sharedassets92.resource	.	.resource	864361809	264889	207	207	1
235	sharedassets93.resource	sharedassets93.resource	.	.resource	864626698	53020	207	207	1
236	sharedassets99.resource	sharedassets99.resource	.	.resource	864679718	4333171	207	208	2
